Giá,Diện tích,Mã tin,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất Copy
4.35,36.0,316524,6,3,3,3,3,không
5.7,58.7,316523,4,5,2,2,2,không
7.0,80.0,316517,4,12,4,4,5,không
4.8,68.0,316516,4,5,2,4,3,không
800.0,28.0,316515,35,6,2,1,1,không
1.55,30.0,316511,4,3,3,3,2,không
0.0,0.0,316510,4,6,3,3,3,đầy đủ
6.8,99.0,316502,12,3,3,8,10,không
0.0,0.0,316500,7,6,1,1,1,không
4.07,45.0,316495,4,3,2,3,2,không
2.0,40.0,316491,4,3,3,3,3,không
5.8,88.0,316490,8,6,5,5,5,không
1.55,30.0,316489,4,3,3,3,2,không
1.3,42.0,316487,3,3,2,2,2,không
5.3,43.9,315885,4,3,3,4,3,đầy đủ
10.99,50.0,316483,5,6,6,5,5,không
5.3,50.0,316478,5,3,3,3,3,không
1.2,50.0,316469,1,1,1,2,2,không
4.0,59.0,316415,4,6,1,3,1,đầy đủ
2.55,57.0,316463,5,5,1,2,1,không
3.9,40.0,316461,4,4,2,4,3,không
5.0,53.0,316455,4,4,2,2,2,không
2.5,55.0,316451,5,4,1,3,3,không
4.5,92.0,316449,4,10,1,4,1,không
4.5,92.0,316448,4,10,1,4,5,không
3.9,37.0,316447,4,3,4,4,3,không
6.9,60.0,316443,1,1,1,9,1,không
5.75,65.0,316442,1,1,4,1,1,đầy đủ
4.4,58.0,316441,5,7,2,3,3,không
10.0,80.0,316434,4,10,5,3,3,không
6.5,115.0,316431,4,14,1,2,1,không
6.5,115.0,316430,4,14,1,2,1,không
3.6,50.0,316425,1,1,1,1,1,không
11.0,84.0,316420,7,13,5,4,4,không
5.1,100.0,316411,4,3,1,1,1,không
3.7,25.0,316408,4,3,3,3,2,không
13.0,1492.0,316406,6,12,2,3,2,không
10.5,68.0,315343,4,6,3,4,4,cơ bản
3.65,48.0,315393,4,4,2,3,2,không
3.05,24.0,315613,3,3,3,2,2,không
16.8,105.0,315789,4,12,5,22,10,không
3.99,37.0,315727,3,3,4,4,3,không
3.55,44.0,314489,4,3,2,2,1,không
9.2,55.0,314055,6,6,4,5,4,không
4.3,52.0,314383,4,6,2,2,2,không
4.6,30.0,315978,4,5,4,3,3,không
2.3,16.0,316254,3,6,2,2,1,không
7.0,55.0,315036,4,6,6,4,5,không
5.4,55.0,315242,4,3,4,4,4,không
3.3,22.0,314732,5,3,4,2,3,cơ bản
3.0,34.0,315893,3,4,4,3,2,không
7.8,55.0,314084,4,10,2,2,2,đầy đủ
4.2,56.0,316359,4,15,3,4,3,không
5.5,42.0,316361,4,5,4,3,3,không
6.4,50.0,316402,1,1,1,1,1,không
5.0,55.0,316401,1,1,3,3,3,cơ bản
14.9,81.0,316373,5,8,1,4,2,cơ bản
17.6,100.0,314271,5,10,4,4,4,cơ bản
24.0,283.0,316014,12,8,1,1,1,không
22.0,100.0,314406,4,10,1,1,1,không
5.0,140.0,316332,1,1,4,5,5,không
9.5,110.0,316331,7,6,2,4,2,không
4.0,51.0,316330,5,5,2,3,2,đầy đủ
15.8,142.0,316322,6,12,3,6,4,không
4.6,40.0,316321,1,1,1,1,1,không
0.0,105.0,316311,1,12,1,1,5,không
8.25,103.0,316306,6,12,2,3,1,không
3.45,43.0,316304,1,4,3,4,3,không
6.5,45.0,316302,7,3,5,6,5,cơ bản
0.0,103.0,316300,6,12,2,3,1,không
4.3,40.0,316287,1,1,1,1,1,không
9.999,120.0,316280,4,4,1,2,2,không
2.89,40.0,316278,4,6,2,3,2,không
4.5,35.0,316273,1,1,1,1,1,không
0.0,0.0,316270,6,3,3,5,6,không
4.5,32.0,316199,4,6,4,5,4,không
5.4,40.0,316263,1,1,1,1,1,không
150.0,1000.0,316260,20,1,5,6,5,không
3.8,90.0,316257,10,3,1,4,3,không
7.2,66.0,316249,6,8,3,5,4,không
3.8,90.0,316240,10,1,1,1,1,không
5.7,45.0,316237,1,1,1,1,1,không
4.85,35.0,316233,1,1,1,1,1,không
4.85,35.0,316232,1,1,1,1,1,không
44.0,260.0,316223,1,12,1,1,1,không
3.8,90.0,316221,10,1,1,1,1,không
4.1,38.0,316216,1,1,1,1,1,không
12.9,80.0,316214,1,14,1,1,1,không
11.4,136.0,316213,9,7,1,1,1,không
4.2,34.0,316201,1,1,1,1,1,không
40.0,145.0,314407,6,30,3,6,6,không
12.8,85.0,316196,5,10,2,3,4,không
8.8,75.0,315990,4,6,2,3,2,không
11.0,82.0,315992,4,6,5,5,5,không
5.1,76.0,316188,1,1,2,1,1,không
33.0,210.0,316171,10,1,4,6,1,đầy đủ
7.0,80.0,316142,1,1,1,1,1,không
12.8,80.0,316137,5,10,4,3,2,không
70.0,99.0,316131,8,12,6,6,6,không
