,Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất
0,4.4,36.0,6.0,3.0,3.0,3.0,3.0,
1,5.7,58.7,4.0,5.0,2.0,2.0,2.0,
2,7.0,80.0,4.0,12.0,4.0,4.0,5.0,
3,4.8,68.0,4.0,5.0,2.0,4.0,3.0,
4,800.0,28.0,35.0,6.0,2.0,1.0,1.0,
5,1.6,30.0,4.0,3.0,3.0,3.0,2.0,
6,0.0,0.0,4.0,6.0,3.0,3.0,3.0,full
7,6.8,99.0,12.0,3.0,3.0,8.0,10.0,
8,0.0,0.0,7.0,6.0,1.0,1.0,1.0,
9,4.1,45.0,4.0,3.0,2.0,3.0,2.0,
10,2.0,40.0,4.0,3.0,3.0,3.0,3.0,
11,5.8,88.0,8.0,6.0,5.0,5.0,5.0,
12,1.6,30.0,4.0,3.0,3.0,3.0,2.0,
13,1.3,42.0,3.0,3.0,2.0,2.0,2.0,
14,5.3,43.9,4.0,3.0,3.0,4.0,3.0,Đầy đủ
15,11.0,50.0,5.0,6.0,6.0,5.0,5.0,
16,5.3,50.0,5.0,3.0,3.0,3.0,3.0,
17,1.2,50.0,1.0,1.0,1.0,2.0,2.0,
18,4.0,59.0,4.0,6.0,1.0,3.0,1.0,đầy đủ
19,2.6,57.0,5.0,5.0,1.0,2.0,1.0,
20,3.9,40.0,4.0,4.0,2.0,4.0,3.0,
21,5.0,53.0,4.0,4.0,2.0,2.0,2.0,
22,2.5,55.0,5.0,4.0,1.0,3.0,3.0,
23,4.5,92.0,4.0,10.0,1.0,4.0,1.0,
24,4.5,92.0,4.0,10.0,1.0,4.0,5.0,
25,3.9,37.0,4.0,3.0,4.0,4.0,3.0,
26,6.9,60.0,1.0,1.0,1.0,9.0,1.0,
27,5.8,65.0,1.0,1.0,4.0,1.0,1.0,tặng toàn bộ nội thất
28,4.4,58.0,5.0,7.0,2.0,3.0,3.0,
29,10.0,80.0,4.0,10.0,5.0,3.0,3.0,
30,6.5,115.0,4.0,14.0,1.0,2.0,1.0,
31,6.5,115.0,4.0,14.0,1.0,2.0,1.0,
32,3.6,50.0,1.0,1.0,1.0,1.0,1.0,
33,11.0,84.0,7.0,13.0,5.0,4.0,4.0,
34,5.1,100.0,4.0,3.0,1.0,1.0,1.0,
35,3.7,25.0,4.0,3.0,3.0,3.0,2.0,
36,13.0,1.492,6.0,12.0,2.0,3.0,2.0,
37,10.5,68.0,4.0,6.0,3.0,4.0,4.0,cao cấp
38,3.6,48.0,4.0,4.0,2.0,3.0,2.0,
39,3.0,24.0,3.0,3.0,3.0,2.0,2.0,
40,16.8,105.0,4.0,12.0,5.0,22.0,10.0,
41,4.0,37.0,3.0,3.0,4.0,4.0,3.0,
42,3.6,44.0,4.0,3.0,2.0,2.0,1.0,
43,9.2,55.0,6.0,6.0,4.0,5.0,4.0,
44,4.3,52.0,4.0,6.0,2.0,2.0,2.0,
45,4.6,30.0,4.0,5.0,4.0,3.0,3.0,
46,2.3,16.0,3.0,6.0,2.0,2.0,1.0,
47,7.0,55.0,4.0,6.0,6.0,4.0,5.0,
48,5.4,55.0,4.0,3.0,4.0,4.0,4.0,
49,3.3,22.0,5.0,3.0,4.0,2.0,3.0,cao cấp
50,3.0,34.0,3.0,4.0,4.0,3.0,2.0,
51,7.8,55.0,4.0,10.0,2.0,2.0,2.0,ĐẦY ĐỦ
52,4.2,56.0,4.0,15.0,3.0,4.0,3.0,
53,5.5,42.0,4.0,5.0,4.0,3.0,3.0,
54,6.4,50.0,1.0,1.0,1.0,1.0,1.0,
55,5.0,55.0,1.0,1.0,3.0,3.0,3.0,Xem nhà trong tuần này nhận nội thất khủng
56,14.9,81.0,5.0,8.0,1.0,4.0,2.0,0
57,17.6,100.0,5.0,10.0,4.0,4.0,4.0,cao cấp
58,24.0,283.0,12.0,8.0,1.0,1.0,1.0,
59,22.0,100.0,4.0,10.0,1.0,1.0,1.0,
60,5.0,140.0,1.0,1.0,4.0,5.0,5.0,
61,9.5,110.0,7.0,6.0,2.0,4.0,2.0,
62,4.0,51.0,5.0,5.0,2.0,3.0,2.0,đầy đủ
63,15.8,142.0,6.0,12.0,3.0,6.0,4.0,
64,4.6,40.0,1.0,1.0,1.0,1.0,1.0,
65,0.0,105.0,1.0,12.0,1.0,1.0,5.0,
66,8.2,103.0,6.0,12.0,2.0,3.0,1.0,
67,3.4,43.0,1.0,4.0,3.0,4.0,3.0,
68,6.5,45.0,7.0,3.0,5.0,6.0,5.0,CAO CẤP
69,0.0,103.0,6.0,12.0,2.0,3.0,1.0,
70,4.3,40.0,1.0,1.0,1.0,1.0,1.0,
71,10.0,120.0,4.0,4.0,1.0,2.0,2.0,
72,2.9,40.0,4.0,6.0,2.0,3.0,2.0,
73,4.5,35.0,1.0,1.0,1.0,1.0,1.0,
74,0.0,0.0,6.0,3.0,3.0,5.0,6.0,
75,4.5,32.0,4.0,6.0,4.0,5.0,4.0,
76,5.4,40.0,1.0,1.0,1.0,1.0,1.0,
77,150.0,1.0,20.0,1.0,5.0,6.0,5.0,
78,3.8,90.0,10.0,3.0,1.0,4.0,3.0,
79,7.2,66.0,6.0,8.0,3.0,5.0,4.0,
80,3.8,90.0,10.0,1.0,1.0,1.0,1.0,
81,5.7,45.0,1.0,1.0,1.0,1.0,1.0,
82,4.8,35.0,1.0,1.0,1.0,1.0,1.0,
83,4.8,35.0,1.0,1.0,1.0,1.0,1.0,
84,44.0,260.0,1.0,12.0,1.0,1.0,1.0,
85,3.8,90.0,10.0,1.0,1.0,1.0,1.0,
86,4.1,38.0,1.0,1.0,1.0,1.0,1.0,
87,12.9,80.0,1.0,14.0,1.0,1.0,1.0,
88,11.4,136.0,9.0,7.0,1.0,1.0,1.0,
89,4.2,34.0,1.0,1.0,1.0,1.0,1.0,
90,40.0,145.0,6.0,30.0,3.0,6.0,6.0,
91,12.8,85.0,5.0,10.0,2.0,3.0,4.0,
92,8.8,75.0,4.0,6.0,2.0,3.0,2.0,
93,11.0,82.0,4.0,6.0,5.0,5.0,5.0,
94,5.1,76.0,1.0,1.0,2.0,1.0,1.0,
95,33.0,210.0,10.0,1.0,4.0,6.0,1.0,"Đầy đủ, cao cấp."
96,7.0,80.0,1.0,1.0,1.0,1.0,1.0,
97,12.8,80.0,5.0,10.0,4.0,3.0,2.0,
98,70.0,99.0,8.0,12.0,6.0,6.0,6.0,
99,12.8,80.0,5.0,10.0,4.0,3.0,2.0,
100,7.1,40.0,4.0,4.0,5.0,8.0,8.0,
101,7.1,40.0,4.0,4.0,5.0,8.0,8.0,
102,30.0,100.0,4.0,1.0,1.0,1.0,1.0,
103,4.0,75.0,4.0,7.0,3.0,3.0,2.0,
104,17.5,125.0,5.0,12.0,5.0,6.0,6.0,
105,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
106,23.0,155.0,6.0,20.0,1.0,1.0,1.0,
107,10.5,64.0,4.0,21.0,2.0,1.0,2.0,
108,10.5,64.0,4.0,21.0,2.0,1.0,2.0,
109,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
110,18.8,104.0,4.0,12.0,6.0,4.0,4.0,Nội thất còn mới đẹp
111,26.0,75.0,5.0,1.0,4.0,1.0,1.0,
112,26.0,75.0,5.0,1.0,4.0,1.0,1.0,
113,26.0,75.0,5.0,1.0,4.0,1.0,1.0,
114,18.0,80.0,4.0,1.0,2.0,1.0,1.0,
115,18.0,80.0,4.0,1.0,2.0,1.0,1.0,
116,18.0,72.0,4.0,1.0,3.0,1.0,1.0,
117,1.6,16.0,4.0,3.0,2.0,2.0,2.0,
118,5.6,371.0,4.0,3.0,2.0,2.0,2.0,
119,6.9,53.0,3.0,4.0,3.0,4.0,3.0,
120,6.9,53.0,3.0,4.0,3.0,4.0,3.0,
121,6.9,53.0,3.0,4.0,3.0,4.0,3.0,
122,6.0,118.0,4.0,3.0,3.0,4.0,4.0,
123,5.3,64.0,6.0,6.0,2.0,2.0,2.0,
124,0.0,40.0,4.0,4.0,5.0,8.0,8.0,
125,0.0,40.0,4.0,4.0,5.0,8.0,8.0,
126,0.0,40.0,4.0,4.0,5.0,8.0,8.0,
127,6.6,42.0,4.0,6.0,3.0,2.0,3.0,
128,11.5,105.0,6.0,16.0,3.0,6.0,6.0,
129,17.2,85.0,5.0,4.0,6.0,16.0,16.0,ĐẦY ĐỦ
130,17.5,110.0,7.0,12.0,5.0,6.0,5.0,đầy đủ
131,35.0,445.0,13.0,20.0,1.0,4.0,4.0,
132,6.8,62.0,4.0,4.0,2.0,3.0,3.0,
133,6.8,62.0,4.0,4.0,2.0,3.0,3.0,
134,6.8,62.0,4.0,4.0,2.0,3.0,3.0,
135,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
136,4.5,37.0,4.0,4.0,4.0,6.0,5.0,
137,4.5,37.0,4.0,4.0,4.0,6.0,5.0,
138,4.5,37.0,4.0,4.0,4.0,6.0,5.0,
139,4.5,37.0,4.0,4.0,4.0,6.0,5.0,
140,15.0,350.0,1.0,1.0,1.0,1.0,1.0,
141,920.0,80.0,5.0,8.0,2.0,2.0,2.0,đầy đủ
142,15.8,100.0,5.0,6.0,3.0,7.0,6.0,
143,4.8,39.0,4.0,6.0,3.0,4.0,3.0,
144,13.8,132.0,4.0,20.0,1.0,2.0,2.0,
145,26.0,135.0,5.0,6.0,6.0,6.0,7.0,cao cấp xin sò tặng hết
146,0.0,55.0,4.0,6.0,5.0,4.0,4.0,CAO CẤP
147,2.2,44.0,7.0,3.0,1.0,1.0,1.0,
148,12.0,65.0,5.0,12.0,4.0,4.0,4.0,
149,20.5,128.0,6.0,8.0,3.0,7.0,7.0,
150,12.5,33.0,6.0,30.0,4.0,4.0,4.0,CAO CẤP
151,8.8,46.0,1.0,6.0,4.0,1.0,1.0,đầy đủ
152,16.0,78.0,4.0,12.0,4.0,4.0,5.0,CAO CẤP
153,5.2,36.0,4.0,5.0,4.0,3.0,3.0,
154,15.9,95.0,5.0,6.0,5.0,5.0,5.0,
155,3.5,37.0,4.0,3.0,2.0,2.0,2.0,
156,93.0,225.0,15.0,12.0,3.0,7.0,7.0,
157,12.4,172.0,4.0,10.0,4.0,4.0,4.0,
158,4.3,94.0,6.0,6.0,1.0,1.0,1.0,
159,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
160,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
161,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
162,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
163,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
164,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
165,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
166,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
167,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
168,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
169,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
170,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
171,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
172,6.0,36.0,4.0,5.0,4.0,5.0,4.0,
173,35.9,135.0,12.0,12.0,5.0,6.0,6.0,
174,9.5,45.0,4.0,6.0,6.0,5.0,5.0,CAO CẤP
175,3.6,40.0,4.0,6.0,2.0,2.0,2.0,
176,7.9,55.0,4.0,5.0,2.0,3.0,2.0,
177,5.2,59.0,7.0,4.0,5.0,7.0,8.0,
178,7.2,77.0,4.0,6.0,4.0,5.0,5.0,
179,5.6,65.0,4.0,10.0,3.0,6.0,5.0,
180,12.0,90.0,5.0,20.0,4.0,6.0,4.0,
181,0.0,0.0,8.0,12.0,3.0,6.0,6.0,
182,8.5,40.0,4.0,20.0,3.0,3.0,2.0,
183,2.8,46.0,5.0,1.0,1.0,2.0,1.0,
184,11.5,100.0,5.0,20.0,4.0,6.0,4.0,
185,11.0,45.0,1.0,1.0,1.0,1.0,1.0,
186,7.5,50.0,1.0,1.0,1.0,1.0,1.0,
187,4.5,36.0,4.0,9.0,3.0,3.0,4.0,
188,9.5,50.0,4.0,7.0,4.0,4.0,4.0,
189,3.8,40.0,4.0,4.0,4.0,4.0,4.0,
190,0.0,0.0,4.0,4.0,6.0,11.0,6.0,
191,5.2,50.0,4.0,6.0,2.0,3.0,3.0,
192,4.2,33.0,4.0,8.0,2.0,2.0,2.0,
193,7.9,55.0,4.0,5.0,2.0,3.0,2.0,
194,4.9,30.0,4.0,8.0,4.0,3.0,4.0,
195,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
196,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
197,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
198,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
199,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
200,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
201,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
202,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
203,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
204,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
205,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
206,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
207,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
208,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
209,6.5,70.0,7.0,4.0,3.0,9.0,9.0,
210,24.0,148.0,7.0,16.0,2.0,2.0,2.0,
211,7.9,55.0,4.0,5.0,2.0,3.0,2.0,
212,11.5,63.0,5.0,16.0,6.0,18.0,16.0,
213,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
214,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
215,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
216,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
217,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
218,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
219,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
220,22.9,85.0,4.0,20.0,2.0,2.0,2.0,
221,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
222,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
223,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
224,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
225,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
226,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
227,5.8,51.0,5.0,4.0,2.0,3.0,2.0,
