,Giá,Diện tích,Mặt tiền,Số tầng,Số phòng,Số toilet,Không,Đầy đủ,Cơ bản
0,4.4,36.0,6,3,3,3,1,0,0
1,5.7,58.7,4,2,2,2,1,0,0
2,7.0,80.0,4,4,4,5,1,0,0
3,4.8,68.0,4,2,4,3,1,0,0
4,800.0,28.0,35,2,1,1,1,0,0
5,1.6,30.0,4,3,3,2,1,0,0
6,5.5,47.86233768123616,4,3,3,3,0,1,0
7,6.8,99.0,12,3,8,10,1,0,0
8,43.3,159.2403552862604,7,1,1,1,1,0,0
9,4.1,45.0,4,2,3,2,1,0,0
10,2.0,40.0,4,3,3,3,1,0,0
11,5.8,88.0,8,5,5,5,1,0,0
12,1.6,30.0,4,3,3,2,1,0,0
13,1.3,42.0,3,2,2,2,1,0,0
14,5.3,43.9,4,3,4,3,0,1,0
15,11.0,50.0,5,6,5,5,1,0,0
16,5.3,50.0,5,3,3,3,1,0,0
17,1.2,50.0,1,1,2,2,1,0,0
18,4.0,59.0,4,1,3,1,0,1,0
19,2.6,57.0,5,1,2,1,1,0,0
20,3.9,40.0,4,2,4,3,1,0,0
21,5.0,53.0,4,2,2,2,1,0,0
22,2.5,55.0,5,1,3,3,1,0,0
23,4.5,92.0,4,1,4,1,1,0,0
24,4.5,92.0,4,1,4,5,1,0,0
25,3.9,37.0,4,4,4,3,1,0,0
26,6.9,60.0,1,1,9,1,1,0,0
27,5.8,65.0,1,4,1,1,0,1,0
28,4.4,58.0,5,2,3,3,1,0,0
29,10.0,80.0,4,5,3,3,1,0,0
30,6.5,115.0,4,1,2,1,1,0,0
31,6.5,115.0,4,1,2,1,1,0,0
32,3.6,50.0,1,1,1,1,1,0,0
33,11.0,84.0,7,5,4,4,1,0,0
34,5.1,100.0,4,1,1,1,1,0,0
35,3.7,25.0,4,3,3,2,1,0,0
36,13.0,1492.0,6,2,3,2,1,0,0
37,10.5,68.0,4,3,4,4,0,0,1
38,3.6,48.0,4,2,3,2,1,0,0
39,3.0,24.0,3,3,2,2,1,0,0
40,16.8,105.0,4,5,22,10,1,0,0
41,4.0,37.0,3,4,4,3,1,0,0
42,3.6,44.0,4,2,2,1,1,0,0
43,9.2,55.0,6,4,5,4,1,0,0
44,4.3,52.0,4,2,2,2,1,0,0
45,4.6,30.0,4,4,3,3,1,0,0
46,2.3,16.0,3,2,2,1,1,0,0
47,7.0,55.0,4,6,4,5,1,0,0
48,5.4,55.0,4,4,4,4,1,0,0
49,3.3,22.0,5,4,2,3,0,0,1
50,3.0,34.0,3,4,3,2,1,0,0
51,7.8,55.0,4,2,2,2,0,1,0
52,4.2,56.0,4,3,4,3,1,0,0
53,5.5,42.0,4,4,3,3,1,0,0
54,6.4,50.0,1,1,1,1,1,0,0
55,5.0,55.0,1,3,3,3,0,0,1
56,14.9,81.0,5,1,4,2,0,0,1
57,17.6,100.0,5,4,4,4,0,0,1
58,24.0,283.0,12,1,1,1,1,0,0
59,22.0,100.0,4,1,1,1,1,0,0
60,5.0,140.0,1,4,5,5,1,0,0
61,9.5,110.0,7,2,4,2,1,0,0
62,4.0,51.0,5,2,3,2,0,1,0
63,15.8,142.0,6,3,6,4,1,0,0
64,4.6,40.0,1,1,1,1,1,0,0
65,49.3,105.0,1,1,1,5,1,0,0
66,8.2,103.0,6,2,3,1,1,0,0
67,3.4,43.0,1,3,4,3,1,0,0
68,6.5,45.0,7,5,6,5,0,0,1
69,9.1,103.0,6,2,3,1,1,0,0
70,4.3,40.0,1,1,1,1,1,0,0
71,10.0,120.0,4,1,2,2,1,0,0
72,2.9,40.0,4,2,3,2,1,0,0
73,4.5,35.0,1,1,1,1,1,0,0
74,14.0,87.51216909320038,6,3,5,6,1,0,0
75,4.5,32.0,4,4,5,4,1,0,0
76,5.4,40.0,1,1,1,1,1,0,0
77,150.0,1000.0,20,5,6,5,1,0,0
78,3.8,90.0,10,1,4,3,1,0,0
79,7.2,66.0,6,3,5,4,1,0,0
80,3.8,90.0,10,1,1,1,1,0,0
81,5.7,45.0,1,1,1,1,1,0,0
82,4.8,35.0,1,1,1,1,1,0,0
