Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
4.4,36.0,6.0,3.0,3.0,3.0,3.0,0,1,0
5.7,58.7,4.0,5.0,2.0,2.0,2.0,0,1,0
7.0,80.0,4.0,12.0,4.0,4.0,5.0,0,1,0
4.8,68.0,4.0,5.0,2.0,4.0,3.0,0,1,0
800.0,28.0,35.0,6.0,2.0,1.0,1.0,0,1,0
1.6,30.0,4.0,3.0,3.0,3.0,2.0,0,1,0
5.7,64.5,4.0,6.0,3.0,3.0,3.0,0,0,1
6.8,99.0,12.0,3.0,3.0,8.0,10.0,0,1,0
8.6,151.8,7.0,6.0,1.0,1.0,1.0,0,1,0
4.1,45.0,4.0,3.0,2.0,3.0,2.0,0,1,0
2.0,40.0,4.0,3.0,3.0,3.0,3.0,0,1,0
5.8,88.0,8.0,6.0,5.0,5.0,5.0,0,1,0
1.6,30.0,4.0,3.0,3.0,3.0,2.0,0,1,0
1.3,42.0,3.0,3.0,2.0,2.0,2.0,0,1,0
5.3,43.9,4.0,3.0,3.0,4.0,3.0,0,0,1
11.0,50.0,5.0,6.0,6.0,5.0,5.0,0,1,0
5.3,50.0,5.0,3.0,3.0,3.0,3.0,0,1,0
1.2,50.0,1.0,1.0,1.0,2.0,2.0,0,1,0
4.0,59.0,4.0,6.0,1.0,3.0,1.0,0,0,1
2.6,57.0,5.0,5.0,1.0,2.0,1.0,0,1,0
3.9,40.0,4.0,4.0,2.0,4.0,3.0,0,1,0
5.0,53.0,4.0,4.0,2.0,2.0,2.0,0,1,0
2.5,55.0,5.0,4.0,1.0,3.0,3.0,0,1,0
4.5,92.0,4.0,10.0,1.0,4.0,1.0,0,1,0
4.5,92.0,4.0,10.0,1.0,4.0,5.0,0,1,0
3.9,37.0,4.0,3.0,4.0,4.0,3.0,0,1,0
6.9,60.0,1.0,1.0,1.0,9.0,1.0,0,1,0
5.8,65.0,1.0,1.0,4.0,1.0,1.0,1,0,0
4.4,58.0,5.0,7.0,2.0,3.0,3.0,0,1,0
10.0,80.0,4.0,10.0,5.0,3.0,3.0,0,1,0
6.5,115.0,4.0,14.0,1.0,2.0,1.0,0,1,0
6.5,115.0,4.0,14.0,1.0,2.0,1.0,0,1,0
3.6,50.0,1.0,1.0,1.0,1.0,1.0,0,1,0
11.0,84.0,7.0,13.0,5.0,4.0,4.0,0,1,0
5.1,100.0,4.0,3.0,1.0,1.0,1.0,0,1,0
3.7,25.0,4.0,3.0,3.0,3.0,2.0,0,1,0
13.0,1.5,6.0,12.0,2.0,3.0,2.0,0,1,0
10.5,68.0,4.0,6.0,3.0,4.0,4.0,0,0,1
3.6,48.0,4.0,4.0,2.0,3.0,2.0,0,1,0
3.0,24.0,3.0,3.0,3.0,2.0,2.0,0,1,0
16.8,105.0,4.0,12.0,5.0,22.0,10.0,0,1,0
